id,numero,titulo,director,anio_estreno,pais_origen,fecha_vista,anio_visto,es_revisionado,estado_enriquecimiento,fuente,genero,animo,sinopsis,poster_url,rating_externo,notas_ia
P0086-1,86,Glass,M Night Shyamalan,2019,USA,2019-07-11,2019,No,Migrada,CSV historico,,,,,,
P0087-1,87,Parchis: El documental,Daniel Arasanz,2019,España,2019-07-13,2019,No,Migrada,CSV historico,,,,,,
P0088-1,88,Dont Breathe,Federico Alvarez,2016,USA,2019-07-16,2019,No,Migrada,CSV historico,,,,,,
P0089-1,89,The death of Stalin,Armando Ianucci,2017,UK/Francia,2019-07-17,2019,No,Migrada,CSV historico,,,,,,
P0090-1,90,The Texas chainsaw massacre,Tobe Hooper,1974,USA,2019-07-18,2019,No,Migrada,CSV historico,,,,,,
P0091-1,91,Happy death day,Christopher Landon,2017,USA,2019-07-19,2019,No,Migrada,CSV historico,,,,,,
P0092-1,92,The French connection,William Friedkin,1971,USA,2019-07-20,2019,Si,Migrada,CSV historico,,,,,,
P0093-1,93,The fugitive,Andrew Davis,1993,USA,2019-07-20,2019,No,Migrada,CSV historico,,,,,,
P0094-1,94,Rear window,Alfred Hitchcock,1954,USA,2019-07-21,2019,No,Migrada,CSV historico,,,,,,
P0095-1,95,Mujeres al borde de un ataque de nervios,Pedro Almodovar,1988,España,2019-07-22,2019,No,Migrada,CSV historico,,,,,,
P0096-1,96,Jurassic Park,Steven Spielberg,1993,USA,2019-07-26,2019,No,Migrada,CSV historico,,,,,,
P0097-1,97,Mortal Kombat,Paul WS Anderson,1995,USA/Tailandia/China/Hong Kong,2019-08-01,2019,Si,Migrada,CSV historico,,,,,,
P0098-2,98,John Wick 3,Chad Stahelski,2019,USA,2019-08-10,2019,Si,Migrada,CSV historico,,,,,,
P0099-1,99,Detroit Rock city,Adam Rifkin,1999,USA,2019-08-13,2019,No,Migrada,CSV historico,,,,,,
P0100-1,100,Twins,Ivan Reitman,1988,USA,2019-08-14,2019,Si,Migrada,CSV historico,,,,,,
